Name,BLength,BWidth,BDepth,Wing,Tarsus,Mass,PyS.A,PyS.G,PyS.T,PyS.B,PyS.M,PyS.R,D.V,D.I,D.S,D.F,D.O,D.N,H.f,H.o
Abroscopus_albogularis,5.475,2.5,2.1,43.5,15.6,5,0,0,0,0,1,0,0,1,0,0,0,0,1,0
Abroscopus_schisticeps,5.5,2.875,2.25,49.5,16,4.7,0,0,0,0,1,0,0,1,0,0,0,0,1,0
Abroscopus_superciliaris,6.5,2.7,2.7,50.75,17.15,6.5,0,0,0,0,1,0,0,1,0,0,0,0,1,0
Acanthis_flavirostris,7.45,5.1,6.25,81,18.35,15.4,0,1,0,0,0,0,0,0,1,0,0,0,0,1
Aceros_nipalensis,187,50.78,76.295,455,70.505,2385,0,0,1,0,0,0,0,0,0,1,0,0,1,0
Aceros_undulatus,183,51.79,81.065,480,67.98,2232.5,0,0,1,0,0,0,0,0,0,1,0,0,1,0
Acridotheres_fuscus,17.21,6.88,7.425,125.75,36.84,82.8,0,1,0,0,0,0,0,0,0,0,1,0,1,0
Acridotheres_ginginianus,15.915,6.365,6.745,121.5,36.78,72,0,1,0,0,0,0,0,0,0,0,1,0,0,1
Acridotheres_grandis,17.125,7.51,8.06,140.5,40.03,98,0,1,0,0,0,0,0,0,0,0,1,0,0,1
Acridotheres_tristis,17.455,7.77,9.225,144,41.935,116.6,0,1,0,0,0,0,0,0,0,0,1,0,0,1
Acrocephalus_concinens,8.2,3.415,3.085,56,22.84,8.3,0,0,0,1,0,0,0,1,0,0,0,0,0,0
Acrocephalus_stentoreus,16.53,5.495,4.955,86.75,30.835,24.2,0,0,0,1,0,0,0,1,0,0,0,0,0,0
Actinodura_egertoni,9.1,4.1,4.85,82.5,30.3,36,0,0,0,0,1,0,0,0,0,0,1,0,1,0
Actinodura_nipalensis,10.43333333,4.177777778,10.01111111,87,31.925,44,0,0,0,0,1,0,0,0,0,0,1,0,1,0
Actinodura_waldeni,10.675,4.275,5.1,95.5,33.85,47.5,0,0,0,0,1,0,0,0,0,0,1,0,1,0
Aegithalos_concinnus,4.9,2.525,3.25,52.5,17.2,6.1,0,0,0,0,1,0,0,1,0,0,0,0,1,0
Aegithalos_iouschistos,5.15,2.075,2.8,56.25,17.25,7,0,0,0,0,1,0,0,1,0,0,0,0,1,0
Aegithalos_leucogenys,4.516666667,2.583333333,3.35,57.33333333,19,7,0,0,0,0,1,0,0,1,0,0,0,0,0,0
Aegithalos_niveogularis,5.55,2.2,3,60,18.25,7.8,0,0,0,0,1,0,0,1,0,0,0,0,1,0
Aegithina_tiphia,10.63,3.69,4.015,66.375,19.15,14.4,0,0,1,0,0,0,0,0,0,0,1,0,1,0
Aegolius_funereus,NA,NA,NA,NA,NA,144,1,0,0,0,0,0,1,0,0,0,0,0,0,0
Aerodramus_brevirostris,3,1.75,1.85,126.5,11.35,12.6,1,0,0,0,0,0,0,1,0,0,0,0,0,1
Aethopyga_gouldiae,12.2,3.2,2.3,56,14,6.125,0,0,1,0,0,0,0,0,0,0,0,1,1,0
Aethopyga_ignicauda,16.625,3.9,2.65,58,15.65,8.2,0,0,1,0,0,0,0,0,0,0,0,1,1,0
Aethopyga_nipalensis,16.65,3,3.1,54.5,16.1,7,0,0,1,0,0,0,0,0,0,0,0,1,1,0
Aethopyga_saturata,15.95,3,3.1,52,14.55,5.3,0,0,1,0,0,0,0,0,0,0,0,1,1,0
Aethopyga_siparaja,15.95,3.7,2.85,62,14.7,6.7,0,0,1,0,0,0,0,0,0,0,0,1,1,0
Alauda_gulgula,11.225,4.54,4.85,90.25,24.72,26.3,0,1,0,0,0,0,0,1,0,0,0,0,0,1
Alcedo_atthis,32.83,5.945,7.84,66.75,9.815,35,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Alcedo_hercules,48.25,7.86,11.14,98,10.48,64,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Alcedo_meninting,34.845,6.29,8.175,66,11.245,20.6,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Alcippe_nipalensis,7.263333333,3.083333333,3.8125,59.08333333,23,15.8,0,0,0,0,1,0,0,1,0,0,0,0,1,0
Alcippe_poioicephala,7.95,3.425,4,66.5,21.35,20.7,0,0,0,0,1,0,0,1,0,0,0,0,1,0
Alophoixus_flaveolus,11.28,4.75,6.585,103.5,22.3,45.65,0,0,0,0,1,0,0,0,0,1,0,0,1,0
Amandava_amandava,8.1,4.95,5.355,47.75,13.965,9,0,0,0,1,0,0,0,0,1,0,0,0,0,1
Ammomanes_deserti,NA,NA,NA,NA,NA,23.8,0,1,0,0,0,0,0,0,1,0,0,0,0,0
Ammomanes_phoenicurus,NA,NA,NA,NA,NA,25.6,0,1,0,0,0,0,0,0,1,0,0,0,0,0
Anthracoceros_albirostris,126.94,37.605,79.83,300.5,59.72,786.75,0,0,1,0,0,0,0,0,0,1,0,0,1,0
Anthus_hodgsoni,9.37,4.08,3.735,81.6,22.605,21.3,0,1,0,0,0,0,0,1,0,0,0,0,1,0
Anthus_roseatus,9.105,3.205,3.235,90.5,23.435,21,0,1,0,0,0,0,0,1,0,0,0,0,0,1
Anthus_rufulus,9.15,3.545,3.62,82.5,27.21,20.7,0,1,0,0,0,0,0,1,0,0,0,0,0,1
Anthus_similis,11.67,4.48,4.665,98,28.245,25.3,0,1,0,0,0,0,0,1,0,0,0,0,0,1
Anthus_sylvanus,10.36,4.385,5.01,81.5,23.5,31,0,1,0,0,0,0,0,1,0,0,0,0,0,1
Anthus_trivialis,8.825,3.92,3.545,86.75,22.2,21.88,0,1,0,0,0,0,0,1,0,0,0,0,1,0
Apus_acuticauda,5.95,4.65,2.65,182,14.4,46.25330183,1,0,0,0,0,0,0,1,0,0,0,0,0,0
Apus_affinis,5.315,5.07,2.77,131,10.745,22.78,1,0,0,0,0,0,0,1,0,0,0,0,0,1
Apus_apus,5.705,4.325,3.155,170.75,12.23,37.6,1,0,0,0,0,0,0,1,0,0,0,0,0,1
Apus_pacificus,5.67,4.13,2.89,153.8,10.04,39.9,1,0,0,0,0,0,0,1,0,0,0,0,0,1
Arachnothera_longirostra,31.59,5.2,4.563333333,64.16666667,16.2,12.55,0,0,0,0,1,0,0,0,0,0,0,1,1,0
Arachnothera_magna,35.95,6.1,5.3,94.25,21.7,30.7,0,0,0,0,1,0,0,0,0,0,0,1,1,0
Artamus_fuscus,13.175,7.7175,8.1075,133.875,17.1475,39.8,0,0,1,0,0,0,0,1,0,0,0,0,1,0
Athene_brama,13.455,6.84,10.71,162.5,27.17,115,0,0,1,0,0,0,0,1,0,0,0,0,1,0
Athene_noctua,13.45,7.605,11.35,160.5,25.375,172.75,0,0,1,0,0,0,0,1,0,0,0,0,0,0
Batrachostomus_hodgsoni,12.265,14.735,5.735,115.5,15.56,51,0,0,0,0,1,0,0,1,0,0,0,0,1,0
Blythipicus_pyrrhotis,36.45,9.35,11.3,148.5,26.5,132,0,1,0,0,0,0,0,1,0,0,0,0,1,0
Brachypteryx_hyperythra,7.5,2.7,3.4,62.5,30.225,16.2,0,1,0,0,0,0,0,1,0,0,0,0,1,0
Brachypteryx_leucophrys,7.65,2.96,3.1,57.75,27.85,15.8,0,1,0,0,0,0,0,1,0,0,0,0,1,0
Brachypteryx_montana,8.278,3.148,3.246,66.86,32.4425,17.7,0,1,0,0,0,0,0,1,0,0,0,0,1,0
Bradypterus_luteoventris,7.655,2.77,3.235,53,18.955,13.2,0,0,0,1,0,0,0,1,0,0,0,0,0,1
Bradypterus_major,12.5,2.91,3.21,59.5,23.12,13.6492891,0,0,0,1,0,0,0,1,0,0,0,0,0,1
Bradypterus_mandelli,6.92,2.67,2.7,53.5,19.075,11.3,0,0,0,1,0,0,0,1,0,0,0,0,0,1
Bradypterus_thoracicus,7.25,2.45,2.775,55.5,20.25,10.8,0,0,0,1,0,0,0,1,0,0,0,0,0,1
Bubo_bengalensis,25.04,12.805,21.165,374,78.025,1100,0,0,0,1,0,0,0,1,0,0,0,0,1,0
Bubo_bubo,25.325,17.8,24.7,383.5,76.4,2781.25,1,0,0,0,0,0,1,0,0,0,0,0,0,0
Bubo_coromandus,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,1,0,0,0,0,0,0,0
